UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 08:28 ?        00:00:02 /sbin/init splash
root         2     0  0 08:28 ?        00:00:00 [kthreadd]
root         4     2  0 08:28 ?        00:00:00 [kworker/0:0H]
root         6     2  0 08:28 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 08:28 ?        00:00:00 [ksoftirqd/0]
root         8     2  0 08:28 ?        00:00:00 [rcu_sched]
root         9     2  0 08:28 ?        00:00:00 [rcu_bh]
root        10     2  0 08:28 ?        00:00:00 [migration/0]
root        11     2  0 08:28 ?        00:00:00 [watchdog/0]
root        12     2  0 08:28 ?        00:00:00 [cpuhp/0]
root        13     2  0 08:28 ?        00:00:00 [cpuhp/1]
root        14     2  0 08:28 ?        00:00:00 [watchdog/1]
root        15     2  0 08:28 ?        00:00:00 [migration/1]
root        16     2  0 08:28 ?        00:00:00 [ksoftirqd/1]
root        18     2  0 08:28 ?        00:00:00 [kworker/1:0H]
root        19     2  0 08:28 ?        00:00:00 [cpuhp/2]
root        20     2  0 08:28 ?        00:00:00 [watchdog/2]
root        21     2  0 08:28 ?        00:00:00 [migration/2]
root        22     2  0 08:28 ?        00:00:00 [ksoftirqd/2]
root        24     2  0 08:28 ?        00:00:00 [kworker/2:0H]
root        25     2  0 08:28 ?        00:00:00 [cpuhp/3]
root        26     2  0 08:28 ?        00:00:00 [watchdog/3]
root        27     2  0 08:28 ?        00:00:00 [migration/3]
root        28     2  0 08:28 ?        00:00:00 [ksoftirqd/3]
root        30     2  0 08:28 ?        00:00:00 [kworker/3:0H]
root        31     2  0 08:28 ?        00:00:00 [kdevtmpfs]
root        32     2  0 08:28 ?        00:00:00 [netns]
root        33     2  0 08:28 ?        00:00:00 [rcu_tasks_kthre]
root        34     2  0 08:28 ?        00:00:00 [kauditd]
root        38     2  0 08:28 ?        00:00:00 [khungtaskd]
root        39     2  0 08:28 ?        00:00:00 [oom_reaper]
root        40     2  0 08:28 ?        00:00:00 [writeback]
root        41     2  0 08:28 ?        00:00:00 [kcompactd0]
root        42     2  0 08:28 ?        00:00:00 [ksmd]
root        43     2  0 08:28 ?        00:00:00 [khugepaged]
root        44     2  0 08:28 ?        00:00:00 [crypto]
root        45     2  0 08:28 ?        00:00:00 [kintegrityd]
root        46     2  0 08:28 ?        00:00:00 [kblockd]
root        48     2  0 08:28 ?        00:00:00 [ata_sff]
root        49     2  0 08:28 ?        00:00:00 [md]
root        50     2  0 08:28 ?        00:00:00 [edac-poller]
root        51     2  0 08:28 ?        00:00:00 [kworker/0:2]
root        52     2  0 08:28 ?        00:00:00 [devfreq_wq]
root        53     2  0 08:28 ?        00:00:00 [watchdogd]
root        56     2  0 08:28 ?        00:00:00 [kswapd0]
root        57     2  0 08:28 ?        00:00:00 [ecryptfs-kthrea]
root        99     2  0 08:28 ?        00:00:00 [kthrotld]
root       100     2  0 08:28 ?        00:00:00 [acpi_thermal_pm]
root       102     2  0 08:28 ?        00:00:00 [kworker/1:2]
root       104     2  0 08:28 ?        00:00:00 [kworker/3:2]
root       108     2  0 08:28 ?        00:00:00 [ipv6_addrconf]
root       117     2  0 08:28 ?        00:00:00 [kstrp]
root       134     2  0 08:28 ?        00:00:00 [charger_manager]
root       185     2  0 08:28 ?        00:00:00 [nvme-wq]
root       186     2  0 08:28 ?        00:00:00 [kworker/u9:0]
root       187     2  0 08:28 ?        00:00:00 [i915/signal:0]
root       188     2  0 08:28 ?        00:00:00 [i915/signal:1]
root       189     2  0 08:28 ?        00:00:00 [i915/signal:2]
root       190     2  0 08:28 ?        00:00:00 [i915/signal:3]
root       191     2  0 08:28 ?        00:00:00 [i915/signal:4]
root       194     2  0 08:28 ?        00:00:00 [kworker/u8:4]
root       266     2  0 08:28 ?        00:00:00 [raid5wq]
root       308     2  0 08:28 ?        00:00:00 [jbd2/nvme0n1p3-]
root       309     2  0 08:28 ?        00:00:00 [ext4-rsv-conver]
root       352     2  0 08:28 ?        00:00:00 [kworker/3:1H]
root       355     1  0 08:28 ?        00:00:00 /lib/systemd/systemd-journald
root       394     1  0 08:28 ?        00:00:00 /lib/systemd/systemd-udevd
root       406     2  0 08:28 ?        00:00:00 [kworker/0:1H]
root       407     2  0 08:28 ?        00:00:00 [kworker/2:1H]
